title,num_pages,rating,rating_count,editions,foreward,five_star,four_star,three_star,two_star,one_star,product_url,author,co_author(s),genre(s),publication_date,book_format,book_cost($),book_access
"30-Second Data Science: The 50 Key Principles and Innovations in the Field of Data-Gathering, Each Explained in Half a Minute",160,3.68,34,1,"30-Second Data Science is the quickest way to discover how data is a driving force not just in the big issues, such as climate change and healthcare, but in our daily lives.ÃÂ ÃÂ Data science is an entirely new discipline that encompasses a new era of information , from finding criminals to predicting epidemics. But thereÃ¢â¬â¢s more to it than the vast quantities of information gathered by our computers, smartphones, and credit cards.ÃÂ ÃÂ Carefully compiled by experts in the field, 30-Second Data Science covers the basic statistical principles that drive the algorithms, how data affects us in every wayÃ¢â¬âscience, society, business, pleasureÃ¢â¬âalong with the ethical quandaries and its future promise of a better world.Each 30-Second entry details a different facet of data science in just 300 words and one picture , showing how the concept of bringing together different types of data, and using powerful computer programs to find patterns no human eye could spot, is already transforming our world.ÃÂ Exploring key ideas and featuring biographies of the people behind them , 30-Second Data Science explains clearly and concisely all you need to know about data science, from basics to ethics.The 30 Second series presents concise, informative guides to the most important topics which shape the world around us, presenting terms which are key to understanding the subject inÃÂ  30 seconds, 300 words, and one image.",7,10,16,1,0,https://www.goodreads.com/book/show/51181047-30-second-data-science?from_search=true&from_srp=true&qid=lolPVmy4Sz&rank=69,Liberty Vittert,,"Genres, Reference, Nonfiction, Computers",2020-09-29,Hardcover,14.99,Purchase on Goodreads
A Simple Introduction to Data Science,76,3.47,75,1,"Lars Nielsen and Noreen Burlingame provide a brief, understandable, user-friendly guide to all aspects of Data Science.The authors address the various skills required, the key steps in the Data Science process, software technology related to the effective practice of Data Science, and the best rising academic programs for training in the field.Contents:- Data Science Summarized- What is Big Data- Hadoop- Data Management- Data Cleaning- Data Modeling for Unstructured Data- Predictive Analysis- Creativity and Intuition (or Posing the Right Question, at the Right Time, for the Right Data)- Data Visualization (or Telling the Story)- Cassandra- Academic Programs",14,23,24,12,2,https://www.goodreads.com/book/show/16286023-a-simple-introduction-to-data-science?from_search=true&from_srp=true&qid=lolPVmy4Sz&rank=46,Lars Nielsen, noreen burlingame,"Genres, Technology, Nonfiction, Business",,Paperback,2.99,Purchase on Goodreads
Adventures in Financial Data Science: The empirical properties of financial data and some other things that interested me...,,4.0,1,1,,0,1,0,0,0,https://www.goodreads.com/book/show/55932069-adventures-in-financial-data-science?from_search=true&from_srp=true&qid=lolPVmy4Sz&rank=1763,Graham Giller,,"Genres, Finance",2020-11-17,Kindle Edition,39.99,Purchase on Goodreads
Agile Data Science 2.0: Building Full-Stack Data Analytics Applications with Spark,349,3.57,47,1,"Data science teams looking to turn research into useful analytics applications require not only the right tools, but also the right approach if theyÃ¢â¬â¢re to succeed. With the revised second edition of this hands-on guide, up-and-coming data scientists will learn how to use the Agile Data Science development methodology to build data applications with Python, Apache Spark, Kafka, and other tools. Author Russell Jurney demonstrates how to compose a data platform for building, deploying, and refining analytics applications with Apache Kafka, MongoDB, ElasticSearch, d3.js, scikit-learn, and Apache Airflow. YouÃ¢â¬â¢ll learn an iterative approach that lets you quickly change the kind of analysis youÃ¢â¬â¢re doing, depending on what the data is telling you. Publish data science work as a web application, and affect meaningful change in your organization.",8,20,10,9,0,https://www.goodreads.com/book/show/30014113-agile-data-science-2-0?from_search=true&from_srp=true&qid=lolPVmy4Sz&rank=411,Russell Jurney,,"Genres, Nonfiction, Technology, Computers, Computer , Science",2017-07-18,Paperback,38.49,Purchase on Goodreads
AI & Data Literacy: Empowering Citizens of Data Science,238,4.5,2,1,"Learn the key skills and capabilities that empower Citizens of Data Science to not only survive but thrive in an AI-dominated world.Purchase of the print or Kindle book includes a free PDF eBook AI is undoubtedly a game-changing tool with immense potential to improve human life.This book aims to empower you as a Citizen of Data Science, covering the privacy, ethics, and theoretical concepts youÃ¢â¬â¢ll need to exploit to thrive amid the current and future developments in the AI landscape.We'll explore AI's inner workings, user intent, and the critical role of the AI utility function while also briefly touching on statistics and prediction to build decision models that leverage AI and data for highly informed, more accurate, and less risky decisions.Additionally, we'll discuss how organizations of all sizes can leverage AI and data to engineer or create value. We'll establish why economies of learning are more powerful than the economies of scale in a digital-centric world. Ethics and personal/organizational empowerment in the context of AI will also be addressed.Lastly, we'll delve into ChatGPT and the role of Large Language Models (LLMs), preparing you for the growing importance of Generative AI. By the end of the book, you'll have a deeper understanding of AI and how best to leverage it and thrive alongside it. This book is designed to benefit everyone from students to established business leaders and professionals who want to learn how to leverage data and analytics to accelerate their AI and Data literacy.",1,2,0,0,0,https://www.goodreads.com/book/show/170997947-ai-data-literacy?from_search=true&from_srp=true&qid=lolPVmy4Sz&rank=94,Bill Schmarzo,,"Genres, Artificial , Intelligence",2023-07-26,Kindle Edition,9.99,Purchase on Goodreads
An Introduction to Data Science,182,3.21,28,1,"This is the companion site to the electronic textbook, Introduction to Data Science, by Jeffrey Stanton. This book provides non-technical readers with a gentle introduction to essential concepts and activities of data science. For more technical readers, the book provides explanations and code for a range of interesting applications using the open source R language for statistical computing and graphics.",2,10,8,8,0,https://www.goodreads.com/book/show/17914583-an-introduction-to-data-science?from_search=true&from_srp=true&qid=lolPVmy4Sz&rank=53,Jeffrey M. Stanton,,"Genres, Nonfiction",,ebbok,,Purchase on Amazon
An Introduction to Data Science,136,4.39,36,1,,26,5,2,3,1,https://www.goodreads.com/book/show/50627313-an-introduction-to-data-science?from_search=true&from_srp=true&qid=lolPVmy4Sz&rank=27,Zeeshan-ul-Hassan Usmani,,"Genres, Business",2019-12-01,Hardcover,,Purchase on Amazon
Analytics in a Big Data World: The Essential Guide to Data Science and Its Applications,256,3.57,44,1,"The guide to targeting and leveraging business opportunities using big data & analytics By leveraging big data & analytics, businesses create the potential to better understand, manage, and strategically exploiting the complex dynamics of customer behavior. Analytics in a Big Data World reveals how to tap into the powerful tool of data analytics to create a strategic advantage and identify new business opportunities. Designed to be an accessible resource, this essential book does not include exhaustive coverage of all analytical techniques, instead focusing on analytics techniques that really provide added value in business environments.The book draws on author Bart Baesens' expertise on the topics of big data, analytics and its applications in e.g. credit risk, marketing, and fraud to provide a clear roadmap for organizations that want to use data analytics to their advantage, but need a good starting point. Baesens has conducted extensive research on big data, analytics, customer relationship management, web analytics, fraud detection, and credit risk management, and uses this experience to bring clarity to a complex topic.Includes numerous case studies on risk management, fraud detection, customer relationship management, and web analytics Offers the results of research and the author's personal experience in banking, retail, and government Contains an overview of the visionary ideas and current developments on the strategic use of analytics for business Covers the topic of data analytics in easy-to-understand terms without an undo emphasis on mathematics and the minutiae of statistical analysis For organizations looking to enhance their capabilities via data analytics, this resource is the go-to reference for leveraging data to enhance business capabilities.",7,19,12,4,2,https://www.goodreads.com/book/show/20308979-analytics-in-a-big-data-world?from_search=true&from_srp=true&qid=lolPVmy4Sz&rank=45,Bart Baesens,,"Genres, Textbooks, Artificial , Intelligence",,ebbok,,Purchase on Amazon
Applied Missing Data Analysis,382,4.32,22,1,"Walking readers step by step through complex concepts, this book translates missing data techniques into something that applied researchers and graduate students can understand and utilize in their own research. Enders explains the rationale and procedural details for maximum likelihood estimation, Bayesian estimation, multiple imputation, and models for handling missing not at random (MNAR) data. Easy-to-follow examples and small simulated data sets illustrate the techniques and clarify the underlying principles. The companion website (www.appliedmissingdata.com) includes data files and syntax for the examples in the book as well as up-to-date information on software. The book is accessible to substantive researchers while providing a level of detail that will satisfy quantitative specialists.",11,9,0,2,0,https://www.goodreads.com/book/show/8450213-applied-missing-data-analysis?from_search=true&from_srp=true&qid=lolPVmy4Sz&rank=819,Craig K. Enders,,"Genres, Computer , Science, Programming, Technology, Nonfiction, Science, Coding, Artificial , Intelligence ...more",,Hardcover,,Purchase on Amazon
Bayesian Artificial Intelligence,392,4.0,22,1,"As the power of Bayesian techniques has become more fully realized, the field of artificial intelligence has embraced Bayesian methodology and integrated it to the point where an introduction to Bayesian techniques is now a core course in many computer science programs. Unlike other books on the subject, Bayesian Artificial Intelligence keeps mathematical detail to a minimum and covers a broad range of topics. The authors integrate all of Bayesian net technology and learning Bayesian net technology and apply them both to knowledge engineering. They emphasize understanding and intuition but also provide the algorithms and technical background needed for applications. Software, exercises, and solutions are available on the authorsÃ¢â¬â¢ website.",7,9,5,1,0,https://www.goodreads.com/book/show/387980.Bayesian_Artificial_Intelligence?from_search=true&from_srp=true&qid=lolPVmy4Sz&rank=413,Kevin B. Korb (Goodreads Author), Ann E. Nicholson,"Genres, Mathematics, Textbooks, Technology, Artificial , Intelligence, Technical, Programming, Economics ...more",,Hardcover,43.41,Purchase on Goodreads
